#,Producto,Proveedor,Descripcion,Requisitos del Sistema (Recomendado),Requisitos del Sistema (Real),Cadigo Factura,Precio por unidad,Total,Fecha de adquisicion,Fecha de renovacion,Adquiridas,En uso,Libres,Tipo de renovacion,Paquete 
55,Ideastatica,Descargar Ideasatica (Genesis),"LICENCIA IDEA STATICA STEEL (5739 a )
","S.O. : Windows 11 64 Bit
70,Bimvision,Descargar Bimvision (Genesis),Visualizador gratuito de archivos IFC utilizados en proyectos BIM,,,Gratis,,$ 0.00,Gratis,Frecuencia no valida,,,0,,P. Basicos
71,Blender,Descargar Blender (Internet),"Software de creacian 3D para modelado, animacian, y renderizacian.",,,Gratis,,$ 0.00,Gratis,Frecuencia no valida,,,0,,P. Proyectos
72,Sika Anchorfix,Herramienta en lanea Sika Anchorfix (Internet),Herramienta para calculo de anclajes quamicos en construcciones.,,,Gratis,,$ 0.00,Gratis,Frecuencia no valida,,,0,,P. Proyectos
75,HandBreak,Descargar HandBreak (Internet),Programa para la conversian de video a formatos compatibles con diferentes dispositivos.,,,Gratis,,$ 0.00,Gratis,Frecuencia no valida,,,0,,P. Comercial
76,Chrome,Descargar Chrome(Edge/Genesis),Navegador web rapido y seguro desarrollado por Google.,,,Gratis,,$ 0.00,Gratis,Frecuencia no valida,,,0,,P. Basicos
77,LunarCaster,Descargar HandBreak (Internet),Herramienta de software para la transmisian y gestian de eventos en lanea.,,,Gratis,,$ 0.00,Gratis,Frecuencia no valida,,,0,,P. Comercial
78,"PROTOOLS	",Descargar PROTOOLS (Internet),"Software profesional para la grabacian, edician y mezcla de audio.",,,Gratis,,$ 0.00,Gratis,Frecuencia no valida,,,0,,P. Comercial
79,ANYDESK,Descargar ANYDESK (Edge/Genesis),Aplicacian para acceso remoto a dispositivos desde cualquier ubicacian.,,,Gratis,,$ 0.00,Gratis,Frecuencia no valida,,,0,,P. Basicos
80,Diroots,Descargar ANYDESK (Edge/Genesis)," plugins para Autodesk Revit que mejora la eficiencia BIM con herramientas como SheetLink (exportar/importar datos entre Revit y Excel), FamilyReviser (gestian de familias), y TableGen (importar tablas desde Excel a Revit).
",,,Gratis,,$ 0.00,Gratis,Frecuencia no valida,,,0,,P. Proyectos
81,Prosheets,Descargar ANYDESK (Edge/Genesis),"Plugin gratuito para exportar en masa vistas y hojas de Revit a formatos como PDF, DWG o imagenes. Ofrece reglas personalizables para nombres de archivos y configuraciones reutilizables.",,,Gratis,,$ 0.00,Gratis,Frecuencia no valida,,,0,,P. Proyectos
69,EspectroNSR10,Descargar EspectroNSR10 (Genesis),Software para analisis sasmico en cumplimiento con la norma NSR-10.,,,Parcheado,,$ 0.00,Parcheado,Frecuencia no valida,,,0,Parcheado,P. Proyectos
74,WinRar,Descargar Winrar (Genesis),Utilidad para comprimir y descomprimir archivos en diversos formatos.,,,Parcheado,,$ 0.00,Parcheado,Frecuencia no valida,,,0,,P. Basicos
58,CX,Descargar Etabs (Genesis),Software de analisis y diseao estructural para edificios y rascacielos.,,,,,,,Frecuencia no valida,,,0,,P. Proyectos
59,Cypecad,Descargar CypeMenu (Genesis),Programa especializado en calculo y dimensionamiento de estructuras de hormigon.,,,,,,,Frecuencia no valida,,,0,,P. Proyectos
60,Cype 3D,Descargar CypeMenu (Genesis),Herramienta para analisis y diseno de estructuras tridimensionales.,,,,,,,Frecuencia no valida,,,0,,P. Proyectos
61,StruBIM Shear Wall,Descargar CypeMenu (Genesis),Software de modelado y analisis de muros de corte en edificios.,,,,,,,Frecuencia no valida,,,0,,P. Proyectos
62,Arquimet 2.0,Descargar Arquimet 2.0(Genesis),Solucion para gestion de proyectos de arquitectura y construccion.,,,,,,,Frecuencia no valida,,,0,,P. Proyectos
63,Gawac,"(No tenemos factura, No tenemos el proveedor en el radar) ",Herramienta para calculo de resistencia en estructuras metalicas.,,,,,,,Frecuencia no valida,,,0,,P. Proyectos
73,,,,,,,,,,,,,,,
82,,,,,,,,,,Frecuencia no valida,,,0,,
83,,,,,,,,,,Frecuencia no valida,,,0,,
,,,,,,,,"$ 107,443,120.86",,,,,,,
